numero_serie_piece,numero_modele
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
30,2
30,3
30,4
30,5
30,6
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
31,3
32,3
33,3
34,3
35,3
1,3
2,3
3,3
4,3
5,3
31,4
32,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
31,5
32,5
33,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
31,6
32,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
